"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"615","ABW","NO","Aruba","2020","25",NA,0,0,0,0,0
"123","AFG","AS","Afghanistan","2020","20",22.0304336547852,0,0,0,0,0
"369","AGO","AF","Angola","2020","30",101.160400390625,0,0,0,0,0
"205","AIA","NO","Anguilla","2020","0",NA,0,0,0,0,0
"656","ALA","EU","Aland Islands","2020","20",NA,0,0,0,0,0
"246","ALB","EU","Albania","2020","15",15.5818910598755,0,0,0,0,0
"41","AND","EU","Andorra","2020","10",NA,0,0,0,0,0
"82","ARE","AS","United Arab Emirates","2020","0",410.326263427734,0,0,0,0,0
"451","ARG","SA","Argentina","2020","30",456.100616455078,0,0,0,1,0
"287","ARM","AS","Armenia","2020","18",14.1039810180664,0,0,0,0,0
"492","ASM","OC","American Samoa","2020","34",NA,0,0,0,0,0
"164","ATG","NO","Antigua and Barbuda","2020","25",1.5338032245636,0,0,0,0,0
"574","AUS","OC","Australia","2020","30",1542.39135742188,1,0,0,1,0
"533","AUT","EU","Austria","2020","25",459.703369140625,1,1,0,0,0
"697","AZE","AS","Azerbaijan","2020","20",61.5286254882812,0,0,0,0,0
"1025","BDI","AF","Burundi","2020","30",2.40244436264038,0,0,0,0,0
"861","BEL","EU","Belgium","2020","25",545.725891113281,1,1,0,0,0
"1066","BEN","AF","Benin","2020","30",11.621337890625,0,0,0,0,0
"1271","BES","NO","Bonaire, Sint Eustatius and Saba","2020","25",NA,0,0,0,0,0
"902","BFA","AF","Burkina Faso","2020","28",15.55943775177,0,0,0,0,0
"820","BGD","AS","Bangladesh","2020","25",220.569244384766,0,0,0,0,0
"943","BGR","EU","Bulgaria","2020","10",64.9644927978516,0,1,0,0,0
"984","BHR","AS","Bahrain","2020","0",34.9680786132812,0,0,0,0,0
"1353","BHS","NO","Bahamas","2020","0",11.1718378067017,0,0,0,0,0
"738","BIH","EU","Bosnia and Herzegovina","2020","10",21.4207191467285,0,0,0,0,0
"1107","BLM","NO","Saint Barthelemy","2020","0",NA,0,0,0,0,0
"1517","BLR","EU","Belarus","2020","18",65.7581558227539,0,0,0,0,0
"1148","BMU","NO","Bermuda","2020","0",NA,0,0,0,0,0
"1230","BOL","SA","Bolivia (Plurinational State of)","2020","25",31.3823833465576,0,0,0,0,0
"1312","BRA","SA","Brazil","2020","34",2379.45654296875,0,0,0,1,1
"779","BRB","NO","Barbados","2020","5.5",4.75468015670776,0,0,0,0,0
"1189","BRN","AS","Brunei Darussalam","2020","18.5",14.6557521820068,0,0,0,0,0
"1394","BTN","AS","Bhutan","2020","30",2.6716251373291,0,0,0,0,0
"1476","BWA","AF","Botswana","2020","22",19.6470260620117,0,0,0,0,0
"1722","CAF","AF","Central African Republic","2020","30",1.78680145740509,0,0,0,0,0
"1599","CAN","NO","Canada","2020","26.47",1980.97802734375,1,0,1,1,0
