"","Rate Category","2020","2010","2000","1990","1980"
"1",0,0.0672645739910314,0.0760233918128655,0.0428571428571429,0.0679611650485437,0.075
"2",5,0.0672645739910314,0.0701754385964912,0.00714285714285714,0,0
"3",10,0.0672645739910314,0.0818713450292398,0.0285714285714286,0.029126213592233,0
"4",15,0.15695067264574,0.12280701754386,0.0285714285714286,0.0485436893203883,0.05
"5",20,0.260089686098655,0.198830409356725,0.1,0.029126213592233,0.025
"6",25,0.26457399103139,0.233918128654971,0.214285714285714,0.0970873786407767,0.0375
"7",30,0.103139013452915,0.169590643274854,0.335714285714286,0.223300970873786,0.1375
"8",35,0.00896860986547085,0.0467836257309941,0.164285714285714,0.155339805825243,0.15
"9",40,0,0,0.0571428571428571,0.116504854368932,0.2125
"10",45,0.00448430493273543,0,0.00714285714285714,0.174757281553398,0.225
"11",50,0,0,0.0142857142857143,0.0485436893203883,0.05
"12",55,0,0,0,0,0.0375
"13",60,0,0,0,0,0
"14",65,0,0,0,0,0
"15",70,0,0,0,0.00970873786407767,0
