"","iso_3","continent","country","2000","2019","rate_change","change"
"3","AGO","AF","Angola",40,30,-10,"Decrease"
"6","ALB","EU","Albania",30,15,-15,"Decrease"
"10","ARG","SA","Argentina",35,30,-5,"Decrease"
"11","ARM","AS","Armenia",25,20,-5,"Decrease"
"15","ATG","NO","Antigua and Barbuda",40,25,-15,"Decrease"
"16","AUS","OC","Australia",34,30,-4,"Decrease"
"17","AUS","OC","Australia",34,30,-4,"Decrease"
"18","AUT","EU","Austria",34,25,-9,"Decrease"
"19","AUT","EU","Austria",34,25,-9,"Decrease"
"20","AZE","AS","Azerbaijan",32,20,-12,"Decrease"
"22","BEL","EU","Belgium",40.17,25,-15.17,"Decrease"
"23","BEL","EU","Belgium",40.17,29.58,-10.59,"Decrease"
"27","BGD","AS","Bangladesh",35,25,-10,"Decrease"
"28","BGR","EU","Bulgaria",30,10,-20,"Decrease"
"29","BHR","AS","Bahrain",0,0,0,"No Change"
"30","BHS","NO","Bahamas",0,0,0,"No Change"
"33","BLR","EU","Belarus",30,18,-12,"Decrease"
"35","BMU","NO","Bermuda",0,0,0,"No Change"
"36","BOL","SA","Bolivia (Plurinational State of)",25,25,0,"No Change"
"37","BRA","SA","Brazil",37,34,-3,"Decrease"
"38","BRB","NO","Barbados",40,5.5,-34.5,"Decrease"
"42","BWA","AF","Botswana",25,22,-3,"Decrease"
"44","CAN","NO","Canada",42.43,26.47,-15.96,"Decrease"
"45","CAN","NO","Canada",42.43,26.62,-15.81,"Decrease"
"47","CHE","EU","Switzerland",24.93,21.148581,-3.781419,"Decrease"
"48","CHE","EU","Switzerland",24.93,21.148581,-3.781419,"Decrease"
"49","CHL","SA","Chile",15,25,10,"Increase"
"50","CHL","SA","Chile",15,25,10,"Increase"
"51","CHN","AS","China",33,25,-8,"Decrease"
"52","CIV","AF","Cote d'Ivoire",35,25,-10,"Decrease"
"53","CMR","AF","Cameroon",38.5,33,-5.5,"Decrease"
"55","COG","AF","Congo",45,30,-15,"Decrease"
"57","COL","SA","Colombia",35,33,-2,"Decrease"
"60","CRI","NO","Costa Rica",30,30,0,"No Change"
"64","CYM","NO","Cayman Islands",0,0,0,"No Change"
"65","CYP","EU","Cyprus",29,12.5,-16.5,"Decrease"
"66","CZE","EU","Czechia",31,19,-12,"Decrease"
"67","CZE","EU","Czechia",31,19,-12,"Decrease"
"68","DEU","EU","Germany",52.03,29.897059,-22.132941,"Decrease"
"69","DEU","EU","Germany",52.03,29.897059,-22.132941,"Decrease"
"72","DNK","EU","Denmark",32,22,-10,"Decrease"
"73","DNK","EU","Denmark",32,22,-10,"Decrease"
"74","DOM","NO","Dominican Republic",25,27,2,"Increase"
"76","ECU","SA","Ecuador",25,25,0,"No Change"
"77","EGY","AF","Egypt",40,22.5,-17.5,"Decrease"
"80","ESP","EU","Spain",35,25,-10,"Decrease"
"81","ESP","EU","Spain",35,25,-10,"Decrease"
"82","EST","EU","Estonia",26,20,-6,"Decrease"
"83","EST","EU","Estonia",26,20,-6,"Decrease"
"84","ETH","AF","Ethiopia",35,30,-5,"Decrease"
"85","FIN","EU","Finland",29,20,-9,"Decrease"
"86","FIN","EU","Finland",29,20,-9,"Decrease"
"87","FJI","OC","Fiji",35,20,-15,"Decrease"
"89","FRA","EU","France",37.76,34.43,-3.33,"Decrease"
"90","FRA","EU","France",37.76,34.43,-3.33,"Decrease"
"93","GAB","AF","Gabon",35,30,-5,"Decrease"
"94","GBR","EU","United Kingdom of Great Britain and Northern Ireland",30,19,-11,"Decrease"
"95","GBR","EU","United Kingdom of Great Britain and Northern Ireland",30,19,-11,"Decrease"
"98","GHA","AF","Ghana",35,25,-10,"Decrease"
"100","GIN","AF","Guinea",35,35,0,"No Change"
"102","GMB","AF","Gambia",35,31,-4,"Decrease"
"105","GRC","EU","Greece",40,24,-16,"Decrease"
"106","GRC","EU","Greece",40,24,-16,"Decrease"
"109","GTM","NO","Guatemala",25,25,0,"No Change"
"112","GUY","SA","Guyana",45,25,-20,"Decrease"
"113","HKG","AS","China, Hong Kong Special Administrative Region",16,16.5,0.5,"Increase"
"115","HND","NO","Honduras",25,25,0,"No Change"
"116","HRV","EU","Croatia",35,18,-17,"Decrease"
"117","HTI","NO","Haiti",35,30,-5,"Decrease"
"118","HUN","EU","Hungary",18,9,-9,"Decrease"
"119","HUN","EU","Hungary",18,9,-9,"Decrease"
"120","IDN","AS","Indonesia",30,25,-5,"Decrease"
"121","IMN","EU","Isle of Man",20,0,-20,"Decrease"
"122","IND","AS","India",38.5,30,-8.5,"Decrease"
"124","IRL","EU","Ireland",24,12.5,-11.5,"Decrease"
"125","IRL","EU","Ireland",24,12.5,-11.5,"Decrease"
"126","IRN","AS","Iran (Islamic Republic of)",54,25,-29,"Decrease"
"128","ISL","EU","Iceland",30,20,-10,"Decrease"
