"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"591","ABW","NO","Aruba","2024",22,NA,0,0,0,0,0
"67","AFG","AS","Afghanistan","2024",20,14.2256362306677,0,0,0,0,0
"329","AGO","AF","Angola","2024",25,121.368924644534,0,0,0,0,0
"197","AIA","NO","Anguilla","2024",0,NA,0,0,0,0,0
"592","ALA","EU","Aland Islands","2024",20,NA,0,0,0,0,0
"198","ALB","EU","Albania","2024",15,16.3135618764774,0,0,0,0,0
"1","AND","EU","Andorra","2024",10,NA,0,0,0,0,0
"2","ARE","AS","United Arab Emirates","2024",9,459.460611761211,0,0,0,0,0
"395","ARG","SA","Argentina","2024",35,604.228268805885,0,0,0,1,0
"263","ARM","AS","Armenia","2024",18,17.0655802440457,0,0,0,0,0
"460","ASM","OC","American Samoa","2024",34,NA,0,0,0,0,0
"132","ATG","NO","Antigua and Barbuda","2024",25,1.67534189189538,0,0,0,0,0
"526","AUS","OC","Australia","2024",30,1617.23650775154,1,0,0,1,0
"461","AUT","EU","Austria","2024",23,439.060477907349,1,1,0,0,0
"593","AZE","AS","Azerbaijan","2024",20,46.833307413449,0,0,0,0,0
"1113","BDI","AF","Burundi","2024",30,3.8462499351322,0,0,0,0,0
"853","BEL","EU","Belgium","2024",25,559.379671499553,1,1,0,0,0
"1178","BEN","AF","Benin","2024",30,19.2594003882506,0,0,0,0,0
"1375","BES","NO","Bonaire, Sint Eustatius and Saba","2024",25.8,NA,0,0,0,0,0
"918","BFA","AF","Burkina Faso","2024",27.5,19.1419114239522,0,0,0,0,0
"788","BGD","AS","Bangladesh","2024",27.5,444.83046479069,0,0,0,0,0
"983","BGR","EU","Bulgaria","2024",15,70.6436507752742,0,1,0,0,0
"1048","BHR","AS","Bahrain","2024",0,39.6348334400728,0,0,0,0,0
"1441","BHS","NO","Bahamas","2024",0,13.3511715444174,0,0,0,0,0
"658","BIH","EU","Bosnia and Herzegovina","2024",10,23.1015315604708,0,0,0,0,0
"1243","BLM","NO","Saint Barthelemy","2024",0,NA,0,0,0,0,0
"1637","BLR","EU","Belarus","2024",25,59.5592789201154,0,0,0,0,0
"1702","BLZ","NO","Belize","2024",0,2.86587329672403,0,0,0,0,0
"1244","BMU","NO","Bermuda","2024",0,NA,0,0,0,0,0
"1310","BOL","SA","Bolivia (Plurinational State of)","2024",25,41.8627290521826,0,0,0,0,0
"1376","BRA","SA","Brazil","2024",34,2332.69027985347,0,0,0,1,1
"723","BRB","NO","Barbados","2024",15,5.29660451199246,0,0,0,0,0
"1245","BRN","AS","Brunei Darussalam","2024",18.5,12.9264338456134,0,0,0,0,0
"1506","BTN","AS","Bhutan","2024",25,3.10228768385109,0,0,0,0,0
"1572","BWA","AF","Botswana","2024",22,19.8652284905331,0,0,0,0,0
"1898","CAF","AF","Central African Republic","2024",30,2.3126558126789,0,0,0,0,0
"1767","CAN","NO","Canada","2024",26.14,1839.34127471329,1,0,1,1,0
"2028","CHE","EU","Switzerland","2024",19.608138,778.606783919684,1,0,0,0,0
"2159","CHL","SA","Chile","2024",27,315.663478038804,1,0,0,0,0
"2289","CHN","AS","China","2024",25,17528.3893194945,0,0,0,1,1
"2093","CIV","AF","Cote d'Ivoire","2024",25,76.1637556930316,0,0,0,0,0
"2224","CMR","AF","Cameroon","2024",33,45.0508780106113,0,0,0,0,0
"1833","COD","AF","Democratic Republic of the Congo","2024",30,55.2670073054332,0,0,0,0,0
"1963","COG","AF","Congo","2024",28,11.9285435078356,0,0,0,0,0
"2158","COK","OC","Cook Islands","2024",20,NA,0,0,0,0,0
"2354","COL","SA","Colombia","2024",35,370.871792341562,1,0,0,0,0
"5752","COM","AF","Comoros","2024",50,NA,0,0,0,0,0
"2549","CPV","AF","Cabo Verde","2024",21.42,2.42256828377982,0,0,0,0,0
"2419","CRI","NO","Costa Rica","2024",30,74.9118584164171,1,0,0,0,0
"2484","CUB","NO","Cuba","2024",35,93.2084752162845,0,0,0,0,0
"2614","CUW","NO","Curacao","2024",22,NA,0,0,0,0,0
"5949","CYM","NO","Cayman Islands","2024",0,NA,0,0,0,0,0
"2616","CYP","EU","Cyprus","2024",12.5,30.0416118691955,0,1,0,0,0
"2681","CZE","EU","Czechia","2024",21,236.108480765876,1,1,0,0,0
"2746","DEU","EU","Germany","2024",29.927068,3800.74983579436,1,1,1,1,0
"2811","DJI","AF","Djibouti","2024",25,3.78618960933883,0,0,0,0,0
"2941","DMA","NO","Dominica","2024",25,0.581478708508133,0,0,0,0,0
"2876","DNK","EU","Denmark","2024",22,383.29363227412,1,1,0,0,0
"3006","DOM","NO","Dominican Republic","2024",27,105.255834115224,0,0,0,0,0
"3071","DZA","AF","Algeria","2024",26,190.646133155034,0,0,0,0,0
"3136","ECU","SA","Ecuador","2024",25,114.597114225303,0,0,0,0,0
"3266","EGY","AF","Egypt","2024",22.5,282.039685951268,0,0,0,0,0
"3332","ERI","AF","Eritrea","2024",30,2.43895952975585,0,0,0,0,0
"3397","ESP","EU","Spain","2024",25,1427.71495923849,1,1,0,0,0
"3201","EST","EU","Estonia","2024",20,29.6274563984798,1,1,0,0,0
"3462","ETH","AF","Ethiopia","2024",30,118.636971983771,0,0,0,0,0
"3527","FIN","EU","Finland","2024",20,260.864678268793,1,1,0,0,0
"3592","FJI","OC","Fiji","2024",25,5.86197265276204,0,0,0,0,0
"3657","FLK","SA","Falkland Islands (Malvinas)","2024",26,NA,0,0,0,0,0
"3660","FRA","EU","France","2024",25.825,2749.22754971355,1,1,1,1,0
"3659","FRO","EU","Faroe Islands","2024",18,NA,0,0,0,0,0
"3658","FSM","OC","Micronesia (Federated States of)","2024",30,NA,0,0,0,0,0
"3725","GAB","AF","Gabon","2024",30,16.8283404831357,0,0,0,0,0
"3790","GBR","EU","United Kingdom of Great Britain and Northern Ireland","2024",25,2827.06618622283,1,0,1,1,0
"3920","GEO","AS","Georgia","2024",15,23.8568233730259,0,0,0,0,0
"3986","GGY","EU","Guernsey","2024",0,NA,0,0,0,0,0
"3987","GHA","AF","Ghana","2024",25,79.511544926612,0,0,0,0,0
"4052","GIB","EU","Gibraltar","2024",15,NA,0,0,0,0,0
"4119","GIN","AF","Guinea","2024",25,14.9517144356942,0,0,0,0,0
"4054","GMB","AF","Gambia","2024",27,2.12744620042195,0,0,0,0,0
"4382","GNB","AF","Guinea-Bissau","2024",25,1.79993159707448,0,0,0,0,0
"4185","GNQ","AF","Equatorial Guinea","2024",35,9.56500727877925,0,0,0,0,0
