"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"861","ABW","NO","Aruba","2025",22,NA,0,0,0,0,0
"157","AFG","AS","Afghanistan","2025",20,14.4684109315799,0,0,0,0,0
"509","AGO","AF","Angola","2025",25,125.415453272464,0,0,0,0,0
"287","AIA","NO","Anguilla","2025",0,NA,0,0,0,0,0
"907","ALA","EU","Aland Islands","2025",20,NA,0,0,0,0,0
"333","ALB","EU","Albania","2025",15,16.9334772200046,0,0,0,0,0
"46","AND","EU","Andorra","2025",10,NA,0,0,0,0,0
"92","ARE","AS","United Arab Emirates","2025",9,468.798791713445,0,0,0,0,0
"620","ARG","SA","Argentina","2025",35,623.291545182296,0,0,0,1,0
"398","ARM","AS","Armenia","2025",18,18.2833999324586,0,0,0,0,0
"685","ASM","OC","American Samoa","2025",34,NA,0,0,0,0,0
"222","ATG","NO","Antigua and Barbuda","2025",25,1.72586812285415,0,0,0,0,0
"796","AUS","OC","Australia","2025",30,1663.98310413042,1,0,0,1,0
"731","AUT","EU","Austria","2025",23,446.045385602268,1,1,0,0,0
"953","AZE","AS","Azerbaijan","2025",20,48.0390401081754,0,0,0,0,0
"1473","BDI","AF","Burundi","2025",30,4.0539474352974,0,0,0,0,0
"1213","BEL","EU","Belgium","2025",25,571.658100260154,1,1,0,0,0
"1538","BEN","AF","Benin","2025",30,20.4149644115456,0,0,0,0,0
"1825","BES","NO","Bonaire, Sint Eustatius and Saba","2025",25.8,NA,0,0,0,0,0
"1278","BFA","AF","Burkina Faso","2025",27.5,20.2330003386072,0,0,0,0,0
"1148","BGD","AS","Bangladesh","2025",27.5,472.907165903959,0,0,0,0,0
"1343","BGR","EU","Bulgaria","2025",10,73.0454325650308,0,1,0,0,0
"1408","BHR","AS","Bahrain","2025",0,40.5693934399583,0,0,0,0,0
"1936","BHS","NO","Bahamas","2025",0,13.6315461341174,0,0,0,0,0
"1018","BIH","EU","Bosnia and Herzegovina","2025",10,23.759484010383,0,0,0,0,0
"1603","BLM","NO","Saint Barthelemy","2025",0,NA,0,0,0,0,0
"2177","BLR","EU","Belarus","2025",25,61.227792265802,0,0,0,0,0
"2242","BLZ","NO","Belize","2025",0,2.9545374339114,0,0,0,0,0
