"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"1","ABW","NO","Aruba",22,22,"No","No","No","No"
"2","AFG","AS","Afghanistan",20,20,"No","No","No","No"
"3","AGO","AF","Angola",25,25,"Yes","No","No","No"
"4","AIA","NO","Anguilla",0,0,"No","No","No","No"
"5","ALA","EU","Aland Islands",20,20,"No","No","No","No"
"6","ALB","EU","Albania",15,15,"Yes","No","No","No"
"7","AND","EU","Andorra",10,10,"No","No","No","No"
"8","ANT","NO","Netherlands Antilles",NA,NA,"No","No","No","No"
"9","ARE","AS","United Arab Emirates",9,9,"Yes","No","No","No"
"10","ARG","SA","Argentina",35,35,"Yes","No","No","No"
"11","ARM","AS","Armenia",18,18,"Yes","No","No","No"
"12","ASM","OC","American Samoa",34,34,"No","No","No","No"
"13","ATA","AN","Antarctica",NA,NA,"No","No","No","No"
"14","ATF","AN","French Southern Territories",NA,NA,"No","No","No","No"
"15","ATG","NO","Antigua and Barbuda",25,25,"No","No","No","No"
"16","AUS","OC","Australia",30,30,"Yes","Yes","No","Yes"
"17","AUT","EU","Austria",23,23,"Yes","Yes","No","Yes"
"18","AZE","AS","Azerbaijan",20,20,"Yes","No","No","No"
"19","BDI","AF","Burundi",30,30,"No","No","No","No"
"20","BEL","EU","Belgium",25,25,"Yes","Yes","No","Yes"
"21","BEN","AF","Benin",30,30,"No","No","No","No"
"22","BES","NO","Bonaire, Sint Eustatius and Saba",25.8,25.8,"No","No","No","No"
"23","BFA","AF","Burkina Faso",27.5,27.5,"No","No","No","No"
"24","BGD","AS","Bangladesh",27.5,27.5,"No","No","No","No"
"25","BGR","EU","Bulgaria",10,15,"Yes","Yes","No","Yes"
"26","BHR","AS","Bahrain",0,0,"Yes","No","No","No"
"27","BHS","NO","Bahamas",0,0,"Yes","No","No","No"
"28","BIH","EU","Bosnia and Herzegovina",10,10,"Yes","No","No","No"
"29","BLM","NO","Saint Barthelemy",0,0,"No","No","No","No"
"30","BLR","EU","Belarus",25,25,"No","No","No","No"
"31","BLZ","NO","Belize",0,0,"No","No","No","No"
"32","BMU","NO","Bermuda",0,0,"Yes","No","No","No"
"33","BOL","SA","Bolivia (Plurinational State of)",25,25,"No","No","No","No"
"34","BRA","SA","Brazil",34,34,"Yes","No","No","No"
"35","BRB","NO","Barbados",9,15,"Yes","No","No","Yes"
"36","BRN","AS","Brunei Darussalam",18.5,18.5,"No","No","No","No"
"37","BTN","AS","Bhutan",25,25,"No","No","No","No"
"38","BVT","AN","Bouvet Island",NA,NA,"No","No","No","No"
"39","BWA","AF","Botswana",22,22,"No","No","No","No"
"40","CAF","AF","Central African Republic",30,30,"No","No","No","No"
"41","CAN","NO","Canada",26.14,26.14,"Yes","Yes","No","Yes"
"42","CCK","AS","Cocos (Keeling) Islands",NA,NA,"No","No","No","No"
"43","CHE","EU","Switzerland",19.608138,19.608138,"Yes","No","No","Yes"
"44","CHL","SA","Chile",27,27,"Yes","No","No","No"
"45","CHN","AS","China",25,25,"Yes","No","No","No"
"46","CIV","AF","Cote d'Ivoire",25,25,"No","No","No","No"
"47","CMR","AF","Cameroon",33,33,"Yes","No","No","No"
"48","COD","AF","Democratic Republic of the Congo",30,30,"Yes","No","No","No"
"49","COG","AF","Congo",28,28,"Yes","No","No","No"
"50","COK","OC","Cook Islands",20,20,"No","No","No","No"
"51","COL","SA","Colombia",35,35,"Yes","No","No","No"
"52","COM","AF","Comoros",50,50,"No","No","No","No"
"53","CPV","AF","Cabo Verde",21.42,21.42,"Yes","No","No","No"
"54","CRI","NO","Costa Rica",30,30,"Yes","No","No","No"
"55","CUB","NO","Cuba",35,35,"No","No","No","No"
"56","CUW","NO","Curacao",22,22,"No","No","No","No"
"57","CXR","AS","Christmas Island",NA,NA,"No","No","No","No"
"58","CYM","NO","Cayman Islands",0,0,"Yes","No","No","No"
"59","CYP","EU","Cyprus",12.5,12.5,"No","Yes","No","No"
"60","CZE","EU","Czechia",21,21,"Yes","Yes","No","Yes"
"61","DEU","EU","Germany",29.927068,29.927068,"Yes","Yes","No","Yes"
"62","DJI","AF","Djibouti",25,25,"No","No","No","No"
"63","DMA","NO","Dominica",25,25,"No","No","No","No"
"64","DNK","EU","Denmark",22,22,"Yes","Yes","No","Yes"
"65","DOM","NO","Dominican Republic",27,27,"Yes","No","No","No"
"66","DZA","AF","Algeria",26,26,"No","No","No","No"
"67","ECU","SA","Ecuador",25,25,"No","No","No","No"
"68","EGY","AF","Egypt",22.5,22.5,"Yes","No","No","No"
"69","ERI","AF","Eritrea",30,30,"No","No","No","No"
"70","ESH","AF","Western Sahara",NA,NA,"No","No","No","No"
"71","ESP","EU","Spain",25,25,"Yes","Yes","No","Yes"
"72","EST","EU","Estonia",20,20,"Yes","No","No","No"
"73","ETH","AF","Ethiopia",30,30,"No","No","No","No"
"74","FIN","EU","Finland",20,20,"Yes","Yes","No","Yes"
"75","FJI","OC","Fiji",25,25,"No","No","No","No"
"76","FLK","SA","Falkland Islands (Malvinas)",26,26,"No","No","No","No"
"77","FRA","EU","France",25.825,25.825,"Yes","Yes","No","Yes"
"78","FRO","EU","Faroe Islands",18,18,"No","No","No","No"
"79","FSM","OC","Micronesia (Federated States of)",30,30,"No","No","No","No"
"80","GAB","AF","Gabon",30,30,"No","No","No","No"
"81","GBR","EU","United Kingdom of Great Britain and Northern Ireland",25,25,"Yes","Yes","No","Yes"
"82","GEO","AS","Georgia",15,15,"Yes","No","No","No"
"83","GGY","EU","Guernsey",0,0,"Yes","No","No","No"
"84","GHA","AF","Ghana",25,25,"No","No","No","No"
"85","GIB","EU","Gibraltar",15,15,"Yes","No","No","Yes"
