"","Rate Category","2025","2025_min","2010","2000","1990","1980"
"1",0,0.0663716814159292,0.0398230088495575,0.0994764397905759,0.0862068965517241,0.0679611650485437,0.075
"2",5,0.0575221238938053,0.0309734513274336,0.06282722513089,0.00574712643678161,0,0
"3",10,0.079646017699115,0.132743362831858,0.0732984293193717,0.028735632183908,0.029126213592233,0
"4",15,0.150442477876106,0.150442477876106,0.120418848167539,0.0574712643678161,0.0485436893203883,0.05
"5",20,0.283185840707965,0.283185840707965,0.18848167539267,0.0919540229885057,0.029126213592233,0.025
"6",25,0.274336283185841,0.274336283185841,0.240837696335079,0.218390804597701,0.0970873786407767,0.0375
"7",30,0.0707964601769911,0.0707964601769911,0.172774869109948,0.298850574712644,0.223300970873786,0.1375
"8",35,0.0132743362831858,0.0132743362831858,0.0418848167539267,0.137931034482759,0.155339805825243,0.15
"9",40,0,0,0,0.0459770114942529,0.116504854368932,0.2125
"10",45,0.00442477876106195,0.00442477876106195,0,0.0172413793103448,0.174757281553398,0.225
"11",50,0,0,0,0.0114942528735632,0.0485436893203883,0.05
"12",55,0,0,0,0,0,0.0375
"13",60,0,0,0,0,0,0
"14",65,0,0,0,0,0,0
"15",70,0,0,0,0,0.00970873786407767,0
