"year","weighted.average","average","country_count"
"1980",46.5218581445963,40.1123150684932,73
"1981",47.3803685680327,40.96971586975,80
"1982",47.6360774647323,40.63359086975,80
"1983",47.6568219243493,40.5426869567089,79
"1984",47.1337483583415,39.97814400275,80
"1985",47.0367576452803,40.05689400275,80
"1986",46.2666330932193,39.92683963575,80
"1987",44.2263209966827,38.7163409116049,81
"1988",41.6306214536554,38.1312743255294,85
"1989",41.0326647852748,37.6856636685057,87
"1990",41.3341380746532,37.1214673229348,92
"1991",40.9973445085445,36.6372572826667,105
"1992",40.4381315912656,35.0146538706061,99
"1993",40.0544594851058,34.1853273348598,107
"1994",39.7696320395873,33.9833073957407,108
"1995",39.9165198016307,34.2621839132787,122
"1996",39.840475076514,33.9667370011538,130
"1997",39.4787153584089,33.5637947344697,132
"1998",38.4398533881053,32.6899560920438,137
"1999",37.8189213144979,32.3037226444697,132
"2000",37.2272943042108,31.4932191780822,146
"2001",35.9367237877273,30.9173333333333,150
"2002",35.4614318785317,30.3062585034014,147
"2003",35.110415391826,28.5306181111111,126
"2004",34.6014507988201,28.3065169731544,149
"2005",34.115003385359,27.6569594333333,150
"2006",33.7395531291096,27.276530239726,146
"2007",33.5146543772963,26.7869457808219,146
"2008",31.6840009486599,25.8078933877551,147
"2009",31.2626905016422,25.2793914630872,149
"2010",31.0190101129824,24.606405175,160
"2011",30.7447171876046,24.5996307065868,167
"2012",30.504294359359,24.4159677261905,168
"2013",30.2404505202494,24.4190868843931,173
"2014",30.0892962124669,24.4426898333333,174
"2015",29.6665714137584,24.4306668388889,180
"2016",29.2760832148229,24.2818903611111,180
"2017",29.1068469013228,24.1764803055556,180
"2018",25.9993869385566,24.1801586722222,180
"2019",25.8001771453797,23.9066565611111,180
"2020",25.6533098964628,23.8384011722222,180
"2021",25.4426221971304,23.54032425,180
