"","Region","Average Rate","Weighted Average Rate","Number of Countries"
"1","Africa",27.9744,27.6943911319595,50
"2","Asia",19.6221276595745,24.9219690934833,47
"3","Europe",19.8434306923077,23.9675104340738,39
"4","North America",26.3710236666667,26.0873883184759,24
"5","Oceania",23.75,29.7142658038768,8
"6","South America",26.625,31.0337179559365,12
"7","G7",26.6856927142857,26.4078045585273,7
"8","OECD",23.0404832894737,25.8070029693838,38
"9","BRICS",27.4,26.0690596662069,5
"10","EU27",21.3035289259259,25.7924803745689,27
"11","G20",26.7526236315789,26.306135836382,19
"12","World",23.54032425,25.4426221971304,180
