"","apply.all_years_final_count.5.47...MARGIN...2..FUN...sum."
"1980",80
"1981",87
"1982",88
"1983",87
"1984",90
"1985",90
"1986",90
"1987",91
"1988",96
"1989",98
"1990",103
"1991",117
"1992",111
"1993",120
"1994",121
"1995",135
"1996",143
"1997",145
"1998",152
"1999",139
"2000",174
"2001",180
"2002",179
"2003",162
"2004",183
"2005",184
"2006",180
"2007",180
"2008",182
"2009",184
"2010",191
"2011",199
"2012",202
"2013",207
"2014",211
"2015",217
"2016",216
"2017",221
"2018",221
"2019",224
"2020",225
"2021",225
"2022",225
